character,frequency,onyomi,kunyomi,jlpt,meaning,keyword,story1,story2
鵜,2118,テイ ダイ,う,,,cormorant,"[+brose] The cormorant was historically used in Japan and China to catch fish. The fisher would use some rope or something to tie its throat so that it could only swallow small fish. If it caught something too big to swallow, it would take it back to the fisher's boat and the fisher would take it out. This particular cormorant is going after bigger and bigger prey - but one day it goes too far, and tries to swallow your little brother! Imagine trying to yank your brother out of its throat.",The cormorant is a bird you use like your younger brother to fetch things for you.
窺,,キ,うかが.う のぞく,,lie in wait; spy on; reconnoiter,peep,"Ladies, I apologize for peeping through the hole, but, you know, it's just standard protocol.",The standard way to use a hole is to peep.
丑,2305,チュウ,うし,1,sign of the ox or cow; 1-3AM; second sign of Chinese zodiac,sign of the cow,77 cows behind a fence.,"Pictograph of a stanchion, which includes two vertical posts to restrain cows so they can be milked, with a horizontal stroke showing the number of cows per stanchion: one. A stanchion is a great symbol for the SIGN OF THE COW, since modern, domesticated cows are often stanchioned in barns."
碓,2364,カク タイ,たし.か かく.たる,,pestle,mill,"Some mills use an animal, typically an ox or donkey, to rotate the stone. But in this mill the stone is being pulled round by a turkey.","I can tell you, it was a big mess when a turkey accidentally came between the stones of the wind mill. We had to clean the blood and feathers away for ages."
臼,2048,キュウ グ,うす うすづ.く,,,mortar,I removed all the back to back staples and grinded them in a mortar to create metal dust.,"The mortar bomb exploded, ripping the sun in half."
渦,1789,カ,うず,1,eddy; vortex,whirlpool,"Grampa's flushing the toilet, when his denture (Jawbone) pops out and gets sucked down the whirlpool!",A whirlpool is water opening its jaws to swallow anything whole.
嘘,2235,キョ コ,うそ ふ.く,,lie; falsehood,fib,うそ = Something void of truth coming from your mouth.,A statement void of truth uttered by a mouth is a fib.
唄,2051,バイ,うた うた.う,1,song; ballad,pop song,The new generation of pop songs have no depth. They just mouth empty lyrics to get money. Not like the pop songs of my day.,Out of the mouth comes a pop song and in rolls the money.
欝,,ウツ ウン,うっ.する ふさ.ぐ しげ.る,,gloom; depression; melancholy,,,
蔚,,ウツ イ,うち おとこよもぎ,,dense growth,grow plentiful,Military officers make for good fertilizer. So after a war the flowers in the military officer's graveyard grow plentiful.,"This reminds me of the old Peter, Paul and Mary anti-war song, ""Where have all the flowers gone?"" The final verse talks about the graveyards of military officers being the place where flowers grow plentiful."
鰻,,マン バン,うなぎ,,,eel,A fish meditates on a mandala to gain the electric power of an eel.,The only fish that Nelson Manadala got to eat in prison was うなぎ eel...sounds like punishment to me!
姥,,ボ モ,うば,,old woman,aged woman,The woman version of an old man is an aged woman.,You know an aged woman?! I know an old man. We should set them up. (Note: Be careful not to confuse with 婆 (#867)).
厩,,キュウ,うまや,,barn; stable,,,
浦,977,ホ,うら,1,creek; inlet; gulf; beach; seacoast,bay,The water of the bay washes all the dog tags up after the battle.,Imagine the opening scenes of baywatch....beautiful water and the dog tags of the cast jumping up and down as they run along the beach.
瓜,2459,カ ケ,うり,,,melon,"何これ???? ok, sorry to be crude... if you claw at a girls melons, she is gonna give you the elbow.",M for melon. 瓜elon.
閏,,ジュン,うるう,,intercalation; illegitimate throne,,,
噂,2298,ソン,うわさ,,rumor; hearsay,gossip,"If you open your mouth to gossip about people, it's usually the most fun if you have some juicy bits on people who are generally revered, for instance that they are secretly glued to their bottle of Horned Whiskey.","""Did you know that the most 尊 (#1547) 酋 (#2915) is not only a horny guy, but an alcoholic, too? Ah, and I forgot, he also sniffs glue... Ups, did that come out of my mouth? No, no... I NEVER gossip!"""
云,,ウン,い.う ここに,,say,quote,Think of manga where what a person says is quoted in a rising cloud.,The messages of the Indian Chief were quoted in rising clouds.
運,255,ウン,はこ.ぶ,3,luck; destiny; fate; lot; transport; progress; advance,carry,"Don’t confuse it with “take along” (287). In that one, there was a car so you could take along your friends once you found them on the road. In this one, there is an army chariot just to carry military supplies (sorry no room for you).",Roads carry armies (in contrast to seas carrying navies or skies carrying air forces).
雲,1256,ウン,くも -ぐも,2,,cloud,Every rising cloud is a potential rain cloud. (Thanks astridtops).,Every cloud is a potential rain cloud.
荏,2096,ジン ニン,,,bean; perilla; herb; soft; pliable,,,
餌,2277,ジ ニ,え えば えさ もち,,food; bait; prey; tempting profit,feed,Food made of ears is animal feed.,"When I bring out the can opener to open the food, my cat's ears prick right up. Feeding time!"
叡,,エイ,あき.らか,1,intelligence; imperial,sapience,"Magic wand, crown, 1-eyed valley, crotch: The archeologist was searching for the birthplace of the homo sapience. Wearing his magic wand and his divining crown, he was able to located it in the 1-eyed valley, somewhere in Bolivia. His crotch got all excited, thinking on all the publicity of finding the birthplace of homo sapience.","The magic wand in a guy's crotch is crowned with one eye, and contains a certain sapience... but they should try not to ""think with the little head."""
営,303,エイ,いとな.む いとな.み,2,camp; perform; build; conduct (business),occupation,The schoolhouse is the backbone of a foundation that will allow you to find a good occupation.,"During the German occupation, this Nazi officer's occupation was to manage schools that were requisitioned for training the children of the Aryan race to stand proud with an erect spine (mnemonic : ""the occupation's spine schools""). Kanji meanings : to manage, to conduct (business), and also ""barracks; camp; encapment"". This story should help avoid confusion with 職 (#824) and 雇 (#1083). The military occupation theme hints to the secondary meaning, e.g. 営倉 ""detention barracks""."
嬰,,エイ,ふ.れる みどりご あかご,,sharp (music); baby,suckling infant,The woman removes the two shells covering her breasts (for modesty) and then attaches the suckling infant. How very Little Mermaid...,I see this as two suckling infants clamped onto their mother (woman) like shellfish when breastfeeding.
影,464,エイ,かげ,1,silhouette; phantom,shadow,The sun over the capital cast a shadow with the same shape.,Mystique the shape-shifter blends into the scenery by transforming into a form that looks like little more than an animated shadow.
映,404,エイ,うつ.る うつ.す は.える -ば.え,3,reflection; projection,reflect,"In the solar system, the Sun is the central source of all light, everything else just reflects it.","A solar power plant consists of thousands of mirrors reflecting the sun's rays, concentrating the energy on a focal point at the centre. See here: http://en.wikipedia.org/wiki/Solar_Two."
曳,,エイ,ひ.く,,pull; tug; jerk; admit; install; quote; refer to,tow,The day seems to drag when it keeps you from having a fiesta.,"Bored with the sun always going the same way (“it’s such a drag”), I tuck the sun under my arm and try to drag it in the opposite direction to usual. EDIT: Notes (1): tucked under the arm is reversed here, i.e. a mirror image of the usual primitive. Note (2): Tow might be a better keyword: see my note at 洩 (#2864)."
栄,920,エイ ヨウ,さか.える は.え -ば.え は.える え,2,prosperity; honor; glory; splendor,flourish,"The TREES FLOURISH in the CLASSROOM, a little too much perhaps, there's no room for the students any more.",Students are like young trees. They tend to flourish in the schoolhouse.
永,846,エイ,なが.い,2,long; lengthy,eternity,It would take an eternity to count all the drops of water.,"It takes but one drop from the most special water: the fountain of youth (and it is written in a special way to with an extra horizontal line on the top) to live for an eternity. (In order to remember that the drop is at the top, think that the drop must come from the topmost water in order for its effects to be true)."
泳,1223,エイ,およ.ぐ,2,,swim,"If you don't know how to swim, you'll be in that water for eternity.","In this super think water, it takes an eternity to swim."
洩,,エイ セツ,も.らす の.びる も.れる,,leak; escape,dribble out,"(re: Katsuo) If you tow water in a wheelbarrow, some of it is sure to dribble out.","Tip: Heisig has duplicated a primitive name here by calling the right side drag. We already have a two-stroke primitive called drag (see numbers 1853-1861 盾,派,脈,逓,后). I suggest calling 曳 ""tow"" instead."
